;ID;RegioS;Perioden;TotaleOppervlakte_1;TotaalVerkeersterrein_2;Spoorterrein_3;Wegverkeersterrein_4;Vliegveld_5;TotaalBebouwdTerrein_6;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;Bedrijventerrein_11;TotaalSemiBebouwdTerrein_12;Stortplaats_13;Wrakkenopslagplaats_14;Begraafplaats_15;Delfstofwinplaats_16;Bouwterrein_17;SemiVerhardOverigTerrein_18;TotaalRecreatieterrein_19;ParkEnPlantsoen_20;Sportterrein_21;Volkstuin_22;DagrecreatiefTerrein_23;VerblijfsrecreatiefTerrein_24;TotaalAgrarischTerrein_25;TerreinVoorGlastuinbouw_26;OverigAgrarischTerrein_27;TotaalBosEnOpenNatuurlijkTerrein_28;Bos_29;OpenDroogNatuurlijkTerrein_30;OpenNatNatuurlijkTerrein_31;TotaalBinnenwater_32;IJsselmeerMarkermeer_33;AfgeslotenZeearm_34;RijnEnMaas_35;Randmeer_36;Spaarbekken_37;RecreatiefBinnenwater_38;BinnenwaterVoorDelfstofwinning_39;VloeiEnOfSlibveld_40;OverigBinnenwater_41;TotaalBuitenwater_42;WaddenzeeEemsDollard_43;Oosterschelde_44;Westerschelde_45;Noordzee_46
4350;4350;Onderbanken;2012;2124.0;82.0;0.0;60.0;22.0;190.0;187.0;0.0;0.0;2.0;0.0;15.0;0.0;0.0;3.0;4.0;8.0;0.0;29.0;0.0;20.0;0.0;0.0;9.0;1401.0;1.0;1400.0;400.0;383.0;17.0;0.0;8.0;;;;;0.0;0.0;2.0;0.0;6.0;;;;;
4351;4351;Onderbanken;2015;2124.0;80.0;0.0;59.0;22.0;192.0;187.0;2.0;0.0;2.0;0.0;26.0;0.0;0.0;3.0;4.0;19.0;0.0;30.0;0.0;21.0;0.0;0.0;9.0;1375.0;1.0;1375.0;409.0;383.0;15.0;11.0;11.0;;;;;0.0;1.0;2.0;0.0;8.0;;;;;
4352;4352;Oost Gelre;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4353;4353;Oost Gelre;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4354;4354;Oost Gelre;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4355;4355;Oost Gelre;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4356;4356;Oost Gelre;2008;11019.0;346.0;14.0;332.0;0.0;745.0;488.0;12.0;6.0;34.0;205.0;157.0;0.0;0.0;8.0;0.0;148.0;0.0;154.0;47.0;54.0;2.0;5.0;46.0;9072.0;0.0;9072.0;502.0;466.0;12.0;24.0;44.0;;;;;0.0;3.0;0.0;0.0;42.0;;;;;
4357;4357;Oost Gelre;2010;11019.0;340.0;14.0;326.0;0.0;763.0;502.0;13.0;6.0;33.0;208.0;132.0;0.0;0.0;8.0;0.0;123.0;0.0;165.0;45.0;66.0;2.0;5.0;46.0;9085.0;0.0;9085.0;489.0;458.0;31.0;0.0;46.0;;;;;0.0;3.0;0.0;0.0;44.0;;;;;
4358;4358;Oost Gelre;2012;11012.0;331.0;14.0;317.0;0.0;775.0;496.0;17.0;7.0;36.0;219.0;127.0;0.0;0.0;8.0;0.0;119.0;0.0;177.0;62.0;60.0;2.0;6.0;47.0;9056.0;0.0;9056.0;497.0;456.0;41.0;0.0;48.0;;;;;0.0;3.0;0.0;0.0;45.0;;;;;
4359;4359;Oost Gelre;2015;11012.0;328.0;14.0;314.0;0.0;799.0;501.0;24.0;8.0;32.0;235.0;81.0;0.0;0.0;8.0;0.0;72.0;0.0;204.0;74.0;68.0;2.0;9.0;51.0;9012.0;0.0;9012.0;537.0;479.0;41.0;17.0;50.0;;;;;0.0;3.0;0.0;0.0;48.0;;;;;
4360;4360;Oost-, West- en Middelbeers;1996;4168.0;59.0;0.0;59.0;0.0;109.0;89.0;0.0;0.0;3.0;17.0;10.0;2.0;0.0;0.0;0.0;7.0;0.0;90.0;2.0;11.0;0.0;1.0;76.0;2496.0;5.0;2491.0;1327.0;1182.0;87.0;58.0;77.0;;;;;0.0;2.0;0.0;0.0;75.0;;;;;
4361;4361;Oost-, West- en Middelbeers;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4362;4362;Oost-, West- en Middelbeers;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4363;4363;Oost-, West- en Middelbeers;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4364;4364;Oost-, West- en Middelbeers;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4365;4365;Oost-, West- en Middelbeers;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4366;4366;Oost-, West- en Middelbeers;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4367;4367;Oost-, West- en Middelbeers;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
